time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0213589	1	2	4	57	0.000233927
0.0213857	4	1	4	245	0.000635713
0.0214705	4	2	4	57	0.000908031
0.0214705	7	1	4	57	0.000908031
0.0214839	1	2	4	57	0.000233927
0.0215018	7	1	4	193	0.000251783
0.0215464	1	2	4	57	0.000233927
0.0215821	1	1	4	164	0.00208214
0.0216357	4	1	4	164	0.000635713
0.021658	7	1	4	57	0.000908031
0.0216714	1	2	4	57	0.000233927
0.0217205	7	1	4	57	0.000908031
0.021783	4	2	4	36	0.000283031
0.0217964	1	2	4	57	0.000233927
0.0218009	7	1	4	57	0.000238391
0.0218321	1	1	4	245	0.00208214
0.0218455	4	2	4	57	0.000595531
0.0218589	1	2	4	57	0.000233927
0.0218857	4	1	4	245	0.000635713
0.021908	4	2	4	57	0.000595531
0.0219705	4	2	4	57	0.000908031
0.0219705	7	1	4	36	0.000283031
0.0219839	1	2	4	57	0.000233927
0.0219884	7	1	4	78	0.000238391
0.022033	4	2	4	57	0.000908031
0.0220464	1	2	4	57	0.000233927
0.0220821	1	1	4	164	0.00208214
0.0220955	7	1	4	57	0.000595531
0.0221134	7	1	4	61	0.000238391
0.0221357	4	1	4	164	0.000635713
0.0221714	1	2	4	57	0.000233927
0.0222205	7	1	4	57	0.000908031
0.0222384	7	1	4	57	0.000238391
0.0222964	1	2	4	57	0.000233927
0.0223321	1	1	4	245	0.00208214
0.0223589	1	2	4	57	0.000233927
0.0223857	4	1	4	245	0.000635713
0.022408	4	2	4	249	0.000595531
0.0224214	4	2	4	57	0.000233927
0.0224839	1	2	4	57	0.000233927
0.022533	4	2	4	57	0.000595531
0.0225464	1	2	4	57	0.000233927
0.0225821	1	1	4	164	0.00208214
0.0225955	4	2	4	36	0.000283031
0.0226357	4	1	4	164	0.000635713
0.0226714	1	2	4	57	0.000233927
0.0227205	4	2	4	36	0.000283031
0.0227205	7	1	4	57	0.000595531
0.0227339	4	2	4	103	0.000233927
0.022783	7	1	4	36	0.000283031
0.0227964	1	1	4	1223	0.000796426
0.0227964	1	2	4	57	0.000233927
0.0228589	1	2	4	57	0.000233927
0.0228857	4	1	4	245	0.000635713
0.0229705	4	2	4	57	0.000908031
0.0229705	7	1	4	57	0.000908031
0.0229839	1	2	4	57	0.000233927
0.0230018	7	1	4	193	0.000251783
0.0230464	1	2	4	57	0.000233927
0.0231357	4	1	4	164	0.000635713
0.023158	7	1	4	57	0.000908031
0.0231714	1	2	4	57	0.000233927
0.0232205	7	1	4	57	0.000908031
0.023283	4	2	4	36	0.000283031
0.0232964	1	2	4	57	0.000233927
0.0233009	7	1	4	57	0.000238391
0.0233455	4	2	4	57	0.000595531
0.0233589	1	2	4	57	0.000233927
0.0233857	4	1	4	245	0.000635713
0.023408	4	2	4	57	0.000595531
0.0234661	4	2	4	57	0.000903567
0.0234705	7	1	4	36	0.000283031
0.0234839	1	2	4	57	0.000233927
0.0234884	7	1	4	78	0.000238391
0.023533	4	2	4	57	0.000908031
0.0235464	1	2	4	57	0.000233927
0.0235955	7	1	4	57	0.000595531
0.0236134	7	1	4	61	0.000238391
0.0236357	4	1	4	164	0.000635713
0.0236714	1	2	4	57	0.000233927
0.0237205	7	1	4	57	0.000908031
0.0237384	7	1	4	57	0.000238391
0.0237964	1	2	4	57	0.000233927
0.0238589	1	2	4	57	0.000233927
0.0238857	4	1	4	245	0.000635713
0.023908	4	2	4	249	0.000595531
0.0239214	4	2	4	57	0.000233927
0.0239839	1	2	4	57	0.000233927
0.024033	4	2	4	57	0.000595531
0.0240464	1	2	4	57	0.000233927
0.0240955	4	2	4	36	0.000283031
0.0241357	4	1	4	164	0.000635713
0.024158	4	2	4	57	0.000595531
0.0241714	1	2	4	57	0.000233927
0.0242205	4	2	4	36	0.000283031
0.0242205	7	1	4	57	0.000595531
0.0242339	4	2	4	103	0.000233927
0.024283	7	1	4	36	0.000283031
0.0242964	1	2	4	57	0.000233927
0.0243321	1	1	4	245	0.00208214
0.0243455	7	1	4	57	0.000595531
0.0243589	1	2	4	57	0.000233927
0.0243857	4	1	4	245	0.000635713
0.024408	7	1	4	57	0.000595531
0.0244705	7	1	4	57	0.000908031
0.0244839	1	2	4	57	0.000233927
0.0245018	7	1	4	193	0.000251783
0.0245464	1	2	4	57	0.000233927
0.0245821	1	1	4	164	0.00208214
0.0246357	4	1	4	164	0.000635713
0.0246714	1	2	4	57	0.000233927
0.0247205	4	2	4	57	0.000595531
0.024783	4	2	4	36	0.000283031
0.0247964	1	2	4	57	0.000233927
0.0248321	1	1	4	245	0.00208214
0.0248455	4	2	4	57	0.000595531
0.0248589	1	2	4	57	0.000233927
0.0248857	4	1	4	245	0.000635713
0.024908	4	2	4	57	0.000595531
0.0249705	4	2	4	57	0.000908031
0.0249705	7	1	4	36	0.000283031
0.0249839	1	2	4	57	0.000233927
0.0249884	4	2	4	193	0.000238391
0.0250464	1	2	4	57	0.000233927
0.0250821	1	1	4	164	0.00208214
0.0250955	7	1	4	36	0.000283031
0.0251357	4	1	4	164	0.000635713
0.025158	7	1	4	57	0.000595531
0.0251714	1	2	4	57	0.000233927
0.0252205	7	1	4	57	0.000908031
0.0252562	7	1	4	159	0.000256247
0.0252964	1	2	4	57	0.000233927
0.0253321	1	1	4	245	0.00208214
0.0253455	7	1	4	57	0.000908031
0.0253589	1	2	4	57	0.000233927
0.0253857	4	1	4	245	0.000635713
0.025408	4	2	4	57	0.000595531
0.0254705	4	2	4	36	0.000283031
0.0254839	1	2	4	57	0.000233927
0.0255464	1	1	4	1223	0.000796426
0.0255464	1	2	4	57	0.000233927
0.0255955	4	2	4	36	0.000283031
0.0256357	4	1	4	164	0.000635713
0.025658	4	2	4	57	0.000595531
0.0256714	1	2	4	57	0.000233927
0.0257205	4	2	4	36	0.000283031
0.0257384	4	2	4	125	0.000238391
0.025783	7	1	4	36	0.000283031
0.0257964	1	2	4	57	0.000233927
0.0258455	4	2	4	57	0.000908031
0.0258589	1	2	4	57	0.000233927
0.0258857	4	1	4	245	0.000635713
0.0259705	7	1	4	36	0.000283031
0.0259839	1	2	4	57	0.000233927
0.026033	7	1	4	114	0.000908031
0.0260464	1	2	4	57	0.000233927
0.0260554	7	1	4	216	0.000242855
0.0261357	4	1	4	164	0.000635713
0.026158	7	1	4	57	0.000908031
0.0261714	1	2	4	57	0.000233927
0.0262205	7	1	4	57	0.000908031
0.026283	4	2	4	36	0.000283031
0.0262964	1	2	4	57	0.000233927
0.0263589	1	2	4	57	0.000233927
0.0263857	4	1	4	245	0.000635713
0.026408	4	2	4	57	0.000595531
0.0264705	4	2	4	36	0.000283031
0.0264839	1	2	4	57	0.000233927
0.026533	4	2	4	114	0.000908031
0.0265464	1	2	4	57	0.000233927
0.0265955	7	1	4	57	0.000595531
0.0266357	4	1	4	164	0.000635713
0.026658	4	2	4	57	0.000908031
0.0266714	1	2	4	57	0.000233927
0.026783	7	1	4	36	0.000283031
0.0267964	1	2	4	57	0.000233927
0.0268589	1	2	4	57	0.000233927
0.0268857	4	1	4	245	0.000635713
0.026908	4	2	4	216	0.000595531
0.026908	7	1	4	36	0.000283031
0.0269214	4	2	4	57	0.000233927
0.0269705	7	1	4	57	0.000908031
0.0269839	1	2	4	57	0.000233927
0.027033	7	1	4	57	0.000908031
0.0270464	1	2	4	57	0.000233927
0.0270821	1	1	4	164	0.00208214
0.0270955	4	2	4	36	0.000283031
0.0271357	4	1	4	164	0.000635713
0.027158	7	1	4	57	0.000908031
0.0271714	1	2	4	57	0.000233927
0.0272205	4	2	4	36	0.000283031
0.0272339	4	2	4	103	0.000233927
0.0272964	1	2	4	57	0.000233927
0.0273321	1	1	4	245	0.00208214
0.0273455	4	2	4	57	0.000908031
0.0273589	1	2	4	57	0.000233927
0.0273857	4	1	4	245	0.000635713
0.027408	7	1	4	272	0.000595531
0.0274259	7	1	4	57	0.000238391
0.0274705	4	2	4	57	0.000908031
0.0274839	1	2	4	57	0.000233927
0.027533	7	1	4	57	0.000595531
0.0275464	1	2	4	57	0.000233927
0.0275821	1	1	4	164	0.00208214
0.0275955	7	1	4	36	0.000283031
0.0276357	4	1	4	164	0.000635713
0.0276714	1	2	4	57	0.000233927
0.0277205	7	1	4	36	0.000283031
0.027783	4	2	4	36	0.000283031
0.0277964	1	2	4	57	0.000233927
0.0278321	1	1	4	245	0.00208214
0.0278455	4	2	4	57	0.000595531
0.0278589	1	2	4	57	0.000233927
0.0278857	4	1	4	245	0.000635713
0.0279705	4	2	4	36	0.000283031
0.0279705	7	1	4	57	0.000908031
0.0279839	1	2	4	57	0.000233927
0.028033	4	2	4	114	0.000908031
0.0280464	1	2	4	57	0.000233927
0.0280821	1	1	4	164	0.00208214
0.0280955	7	1	4	103	0.000595531
0.0281357	4	1	4	164	0.000635713
0.028158	7	1	4	57	0.000595531
0.0281714	1	2	4	57	0.000233927
0.0282205	4	2	4	57	0.000908031
0.0282339	4	2	4	57	0.000233927
0.028283	7	1	4	36	0.000283031
0.0282964	1	1	4	1223	0.000796426
