Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.016125	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.016125	gNB PHY Rxed	1	6	1	1	0	0	RACH_PREAMBLE
0.016125	gNB PHY Rxed	1	6	1	4	0	0	RACH_PREAMBLE
0.016125	gNB PHY Rxed	1	6	1	4	0	0	RACH_PREAMBLE
0.016125	gNB PHY Rxed	1	6	1	7	0	0	RACH_PREAMBLE
0.0171205	gNB PHY Rxed	1	7	1	1	0	0	SRS
0.0183705	gNB PHY Rxed	1	8	5	4	0	0	SRS
0.020183	gNB PHY Rxed	2	0	2	4	0	0	SRS
0.0203705	gNB PHY Rxed	2	0	5	7	0	0	SRS
0.0209955	gNB PHY Rxed	2	0	15	1	0	0	SRS
0.0221205	gNB PHY Rxed	2	2	1	1	0	0	SRS
0.0232321	gNB PHY Rxed	2	3	0	4	0	1	SRS
0.0233705	gNB PHY Rxed	2	3	5	4	0	0	SRS
0.025183	gNB PHY Rxed	2	5	2	4	0	0	SRS
0.0253705	gNB PHY Rxed	2	5	5	7	0	0	SRS
0.0254821	gNB PHY Rxed	2	5	1	4	0	1	SRS
0.0259955	gNB PHY Rxed	2	5	15	1	0	0	SRS
0.0271205	gNB PHY Rxed	2	7	1	1	0	0	SRS
0.0283705	gNB PHY Rxed	2	8	5	4	0	0	SRS
0.030183	gNB PHY Rxed	3	0	2	4	0	0	SRS
0.0303705	gNB PHY Rxed	3	0	5	7	0	0	SRS
0.0309955	gNB PHY Rxed	3	0	15	1	0	0	SRS
0.0321205	gNB PHY Rxed	3	2	1	1	0	0	SRS
0.0329821	gNB PHY Rxed	3	2	3	1	0	1	SRS
0.0333705	gNB PHY Rxed	3	3	5	4	0	0	SRS
0.035183	gNB PHY Rxed	3	5	2	4	0	0	SRS
0.0353705	gNB PHY Rxed	3	5	5	7	0	0	SRS
0.0354821	gNB PHY Rxed	3	5	1	7	0	1	SRS
0.0359821	gNB PHY Rxed	3	5	3	1	0	1	SRS
0.0359955	gNB PHY Rxed	3	5	15	1	0	0	SRS
0.0371205	gNB PHY Rxed	3	7	1	1	0	0	SRS
0.0383705	gNB PHY Rxed	3	8	5	4	0	0	SRS
0.040183	gNB PHY Rxed	4	0	2	4	0	0	SRS
0.0403705	gNB PHY Rxed	4	0	5	7	0	0	SRS
0.0409955	gNB PHY Rxed	4	0	15	1	0	0	SRS
0.0421205	gNB PHY Rxed	4	2	1	1	0	0	SRS
0.0432321	gNB PHY Rxed	4	3	0	4	0	1	SRS
0.0433705	gNB PHY Rxed	4	3	5	4	0	0	SRS
0.045183	gNB PHY Rxed	4	5	2	4	0	0	SRS
0.0453705	gNB PHY Rxed	4	5	5	7	0	0	SRS
0.0454821	gNB PHY Rxed	4	5	1	4	0	1	SRS
0.0459955	gNB PHY Rxed	4	5	15	1	0	0	SRS
0.0471205	gNB PHY Rxed	4	7	1	1	0	0	SRS
0.0483705	gNB PHY Rxed	4	8	5	4	0	0	SRS
0.050183	gNB PHY Rxed	5	0	2	4	0	0	SRS
0.0503705	gNB PHY Rxed	5	0	5	7	0	0	SRS
0.0509955	gNB PHY Rxed	5	0	15	1	0	0	SRS
0.0521205	gNB PHY Rxed	5	2	1	1	0	0	SRS
0.0529821	gNB PHY Rxed	5	2	3	1	0	1	SRS
0.0533705	gNB PHY Rxed	5	3	5	4	0	0	SRS
0.055183	gNB PHY Rxed	5	5	2	4	0	0	SRS
0.0553705	gNB PHY Rxed	5	5	5	7	0	0	SRS
0.0554821	gNB PHY Rxed	5	5	1	7	0	1	SRS
0.0559821	gNB PHY Rxed	5	5	3	1	0	1	SRS
