Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.101433	DL	10	1	6	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101433	DL	10	1	6	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.101433	DL	10	1	6	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101482	DL	10	1	1	1	12	1	1	1	171	0	1	0	5.1093	7	0	0
0.101482	DL	10	1	1	1	12	4	1	1	171	0	1	0	46.7866	15	0	0
0.101496	DL	10	1	7	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101496	DL	10	1	7	1	12	4	0	2	39	0	1	1	-9.44036	0	1	0.0968173
0.101496	DL	10	1	7	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101558	DL	10	1	8	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101558	DL	10	1	8	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101558	DL	10	1	8	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101621	DL	10	1	9	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101621	DL	10	1	9	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.101621	DL	10	1	9	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101683	DL	10	1	10	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101683	DL	10	1	10	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101683	DL	10	1	10	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101732	DL	10	1	2	1	12	1	1	1	171	0	1	0	5.1093	7	0	0
0.101732	DL	10	1	2	1	12	4	1	1	171	0	1	0	46.7866	15	0	0
0.101746	DL	10	1	11	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101746	DL	10	1	11	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101746	DL	10	1	11	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101808	DL	10	1	12	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101808	DL	10	1	12	1	12	4	0	2	39	0	1	2	-9.44036	0	0	7.27807e-13
0.101808	DL	10	1	12	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101871	DL	10	1	13	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101871	DL	10	1	13	1	12	4	0	2	39	0	1	1	-9.44036	0	1	0.0968173
0.101871	DL	10	1	13	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101933	DL	10	1	14	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101933	DL	10	1	14	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.101933	DL	10	1	14	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.101982	DL	10	1	3	1	12	1	1	1	171	0	1	0	5.1093	7	0	0
0.101982	DL	10	1	3	1	12	4	1	1	171	0	1	0	46.7866	15	0	0
0.101996	DL	10	1	15	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.101996	DL	10	1	15	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.101996	DL	10	1	15	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102058	DL	10	2	0	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102058	DL	10	2	0	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.102058	DL	10	2	0	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102116	DL	10	2	1	1	11	1	0	2	1332	28	1	0	23.1112	15	0	0
0.102121	DL	10	2	1	1	12	4	0	2	39	0	1	0	6.31655	7	0	0
