% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.10225	1	1	0	1	10	2	3	1	12	12	1	0	12	1605
0.10225	4	1	0	1	10	2	3	1	12	12	1	0	28	5990
0.10225	1	0	0	2	10	2	6	1	12	15	1	0	28	1454
0.10225	4	0	0	2	10	2	6	1	12	15	1	0	0	39
0.10225	7	0	0	1	10	2	6	1	12	11	1	0	0	39
0.102313	1	0	0	2	10	2	7	1	12	14	1	0	28	1454
0.102313	7	0	0	1	10	2	7	1	12	15	1	0	6	155
0.102375	1	0	0	2	10	2	8	1	12	13	1	0	28	1454
0.102375	4	0	0	2	10	2	8	1	12	13	1	0	0	39
0.102375	7	0	0	1	10	2	8	1	12	14	1	0	0	39
0.102438	1	0	0	2	10	2	9	1	12	11	1	0	28	1454
0.102438	7	0	0	1	10	2	9	1	12	13	1	0	0	39
0.1025	1	1	0	1	10	3	0	1	12	11	1	0	12	1605
0.1025	4	1	0	1	10	3	0	1	11	11	1	0	28	5489
0.1025	1	0	0	2	10	2	10	1	12	12	1	0	28	1454
0.1025	7	0	0	1	10	2	10	1	12	12	1	0	0	39
0.102563	1	0	0	2	10	2	11	1	12	15	1	0	28	1454
0.102563	7	0	0	1	10	2	11	1	12	11	1	0	0	39
0.102625	1	0	0	2	10	2	12	1	12	14	1	0	28	1454
0.102625	4	0	0	2	10	2	12	1	12	14	1	0	0	39
0.102688	1	0	0	2	10	2	13	1	12	13	1	0	28	1454
0.102688	7	0	0	1	10	2	13	1	12	14	1	0	0	39
0.10275	1	1	0	1	10	3	1	1	12	15	1	0	12	1605
0.10275	4	1	0	1	10	3	1	1	12	15	1	0	28	5990
0.10275	1	0	0	2	10	2	14	1	12	11	1	0	28	1454
0.10275	4	0	0	2	10	2	14	1	12	12	1	0	0	39
0.10275	7	0	0	1	10	2	14	1	12	13	1	0	0	39
0.102813	1	0	0	2	10	2	15	1	12	12	1	0	28	1454
0.102813	4	0	0	2	10	2	15	1	12	11	1	0	0	39
0.102813	7	0	0	1	10	2	15	1	12	12	1	0	0	39
0.102875	1	0	0	2	10	3	0	1	12	15	1	0	28	1454
0.102875	7	0	0	1	10	3	0	1	12	11	1	0	0	39
0.102938	1	0	0	2	10	3	1	1	12	14	1	0	28	1454
0.103	1	1	0	1	10	3	2	1	12	14	1	0	12	1605
0.103	4	1	0	1	10	3	2	1	12	14	1	0	28	5990
0.103	1	0	0	2	10	3	2	1	12	13	1	0	28	1454
0.103	7	0	0	1	10	3	2	1	12	14	1	0	0	39
0.103063	1	0	0	2	10	3	3	1	12	11	1	0	28	1454
0.103063	7	0	0	1	10	3	3	1	12	13	1	0	0	39
0.103125	1	0	0	2	10	3	4	1	12	12	1	0	28	1454
0.103125	7	0	0	1	10	3	4	1	12	12	1	0	0	39
0.103188	1	0	0	2	10	3	5	1	12	15	1	0	28	1454
0.103188	4	0	0	2	10	3	5	1	11	10	1	0	0	35
0.103188	7	0	0	1	10	3	5	1	12	11	1	0	0	39
0.10325	1	1	0	1	10	3	3	1	12	13	1	0	12	1605
0.10325	4	1	0	1	10	3	3	1	12	13	1	0	28	5990
0.10325	1	0	0	2	10	3	6	1	12	14	1	0	28	1454
0.10325	7	0	0	1	10	3	6	1	12	15	1	0	0	39
0.103313	1	0	0	2	10	3	7	1	12	13	1	0	28	1454
0.103313	7	0	0	1	10	3	7	1	12	14	1	0	0	39
0.103375	1	0	0	2	10	3	8	1	12	11	1	0	28	1454
0.103375	7	0	0	1	10	3	8	1	12	13	1	0	0	39
0.103438	1	0	0	2	10	3	9	1	12	12	1	0	28	1454
0.103438	7	0	0	1	10	3	9	1	12	12	1	0	0	39
0.1035	1	1	0	1	10	4	0	1	12	12	1	0	12	1605
0.1035	4	1	0	1	10	4	0	1	12	12	1	0	28	5990
0.1035	1	0	0	2	10	3	10	1	12	15	1	0	28	1454
0.1035	7	0	0	1	10	3	10	1	12	11	1	0	0	39
0.103563	1	0	0	2	10	3	11	1	12	14	1	0	28	1454
0.103563	7	0	0	1	10	3	11	1	12	15	1	0	0	39
0.103625	1	0	0	2	10	3	12	1	12	13	1	0	28	1454
0.103625	7	0	0	1	10	3	12	1	12	14	1	0	0	39
0.103688	1	0	0	2	10	3	13	1	12	11	1	0	28	1454
0.103688	4	0	0	2	10	3	13	1	12	15	1	0	0	39
0.103688	7	0	0	1	10	3	13	1	12	13	1	0	0	39
0.10375	1	1	0	1	10	4	1	1	12	11	1	0	12	1605
0.10375	4	1	0	1	10	4	1	1	12	11	1	0	28	5990
0.10375	1	0	0	2	10	3	14	1	12	12	1	0	28	1454
0.10375	7	0	0	1	10	3	14	1	12	12	1	0	0	39
0.103813	1	0	0	2	10	3	15	1	12	15	1	0	28	1454
0.103813	7	0	0	1	10	3	15	1	12	11	1	0	0	39
0.103875	1	0	0	2	10	4	0	1	12	14	1	0	28	1454
0.103875	7	0	0	1	10	4	0	1	12	15	1	0	0	39
0.103938	1	0	0	2	10	4	1	1	12	13	1	0	28	1454
0.103938	4	0	0	2	10	4	1	1	12	14	1	0	0	39
0.103938	7	0	0	1	10	4	1	1	12	14	1	0	0	39
0.104	1	1	0	1	10	4	2	1	12	15	1	0	28	5990
0.104	4	1	0	1	10	4	2	1	12	15	1	0	28	5990
0.104	1	0	0	2	10	4	2	1	12	11	1	0	28	1454
0.104	7	0	0	1	10	4	2	1	12	13	1	0	0	39
0.104063	1	0	0	2	10	4	3	1	12	12	1	0	28	1454
0.104063	4	0	0	2	10	4	3	1	12	13	1	0	0	39
0.104063	7	0	0	1	10	4	3	1	12	12	1	0	0	39
0.104125	1	0	0	2	10	4	4	1	12	15	1	0	28	1454
0.104125	4	0	0	2	10	4	4	1	12	12	1	0	0	39
0.104125	7	0	0	1	10	4	4	1	12	11	1	0	0	39
0.104188	1	0	0	2	10	4	5	1	12	14	1	0	28	1454
0.104188	7	0	0	1	10	4	5	1	12	15	1	0	0	39
0.10425	1	1	0	1	10	4	3	1	12	14	1	0	12	1605
0.10425	4	1	0	1	10	4	3	1	12	14	1	0	28	5990
0.10425	1	0	0	2	10	4	6	1	12	13	1	0	28	1454
0.10425	7	0	0	1	10	4	6	1	12	14	1	0	0	39
0.104313	1	0	0	2	10	4	7	1	12	11	1	0	28	1454
0.104313	7	0	0	1	10	4	7	1	12	13	1	0	0	39
0.104375	1	0	0	2	10	4	8	1	12	12	1	0	28	1454
0.104375	7	0	0	1	10	4	8	1	12	12	1	0	0	39
0.104438	1	0	0	2	10	4	9	1	12	15	1	0	28	1454
0.104438	7	0	0	1	10	4	9	1	12	11	1	0	0	39
0.1045	1	1	0	1	10	5	0	1	12	13	1	0	12	1605
0.1045	4	1	0	1	10	5	0	1	12	13	1	0	28	5990
0.1045	1	0	0	2	10	4	10	1	12	14	1	0	28	1454
0.1045	4	0	0	2	10	4	10	1	12	11	1	0	0	39
0.1045	7	0	0	1	10	4	10	1	12	15	1	0	0	39
0.104563	1	0	0	2	10	4	11	1	12	13	1	0	28	1454
0.104563	7	0	0	1	10	4	11	1	12	14	1	0	0	39
0.104625	1	0	0	2	10	4	12	1	12	11	1	0	28	1454
0.104625	7	0	0	1	10	4	12	1	12	13	1	0	0	39
0.104688	1	0	0	2	10	4	13	1	12	12	1	0	28	1454
0.104688	7	0	0	1	10	4	13	1	12	12	1	0	0	39
0.10475	1	1	0	1	10	5	1	1	12	12	1	0	12	1605
0.10475	4	1	0	1	10	5	1	1	11	12	1	0	28	5489
0.10475	1	0	0	2	10	4	14	1	12	15	1	0	28	1454
0.10475	7	0	0	1	10	4	14	1	12	11	1	0	0	39
0.104813	1	0	0	2	10	4	15	1	12	14	1	0	28	1454
0.104813	7	0	0	1	10	4	15	1	12	15	1	0	0	39
0.104875	1	0	0	2	10	5	0	1	12	13	1	0	28	1454
0.104875	7	0	0	1	10	5	0	1	12	14	1	0	0	39
0.104938	1	0	0	2	10	5	1	1	12	11	1	0	28	1454
0.104938	4	0	0	2	10	5	1	1	12	15	1	0	0	39
0.104938	7	0	0	1	10	5	1	1	12	13	1	0	0	39
0.105	1	1	0	1	10	5	2	1	12	11	1	0	12	1605
0.105	4	1	0	1	10	5	2	1	12	11	1	0	28	5990
0.105	1	0	0	2	10	5	2	1	12	12	1	0	28	1454
0.105	4	0	0	2	10	5	2	1	11	10	1	0	0	35
0.105	7	0	0	1	10	5	2	1	12	12	1	0	0	39
0.105063	1	0	0	2	10	5	3	1	12	15	1	0	28	1454
0.105063	7	0	0	1	10	5	3	1	12	11	1	0	0	39
0.105125	1	0	0	2	10	5	4	1	12	14	1	0	28	1454
0.105125	7	0	0	1	10	5	4	1	12	15	1	0	0	39
0.105188	1	0	0	2	10	5	5	1	12	13	1	0	28	1454
0.105188	7	0	0	1	10	5	5	1	11	14	1	0	0	35
0.10525	4	1	0	1	10	5	3	1	12	15	1	0	28	5990
0.10525	1	0	0	2	10	5	6	1	12	11	1	0	28	1454
0.10525	7	0	0	1	10	5	6	1	12	13	1	0	0	39
0.105313	1	0	0	2	10	5	7	1	12	12	1	0	28	1454
0.105313	7	0	0	1	10	5	7	1	12	12	1	0	0	39
0.105375	1	0	0	2	10	5	8	1	12	15	1	0	28	1454
0.105375	4	0	0	2	10	5	8	1	12	14	1	0	0	39
0.105375	7	0	0	1	10	5	8	1	12	10	1	0	0	39
0.105438	1	0	0	2	10	5	9	1	12	14	1	0	28	1454
0.105438	4	0	0	2	10	5	9	1	12	13	1	0	0	39
0.105438	7	0	0	1	10	5	9	1	12	15	1	0	0	39
0.1055	1	1	0	1	10	6	0	1	12	14	1	0	12	1605
0.1055	4	1	0	1	10	6	0	1	12	10	1	0	28	5990
0.1055	1	0	0	2	10	5	10	1	12	13	1	0	28	1454
0.1055	7	0	0	1	10	5	10	1	12	14	1	0	0	39
0.105563	1	0	0	2	10	5	11	1	12	11	1	0	28	1454
0.105563	7	0	0	1	10	5	11	1	12	13	1	0	0	39
0.105625	1	0	0	2	10	5	12	1	12	12	1	0	28	1454
0.105625	7	0	0	1	10	5	12	1	12	12	1	0	0	39
0.105688	1	0	0	2	10	5	13	1	12	15	1	0	28	1454
0.105688	7	0	0	1	10	5	13	1	12	11	1	0	0	39
0.10575	1	1	0	1	10	6	1	1	12	13	1	0	12	1605
0.10575	4	1	0	1	10	6	1	1	12	14	1	0	28	5990
0.10575	1	0	0	2	10	5	14	1	12	14	1	0	28	1454
0.10575	7	0	0	1	10	5	14	1	12	15	1	0	0	39
0.105813	1	0	0	2	10	5	15	1	11	13	1	0	28	1332
0.105813	4	0	0	2	10	5	15	1	12	12	1	0	0	39
0.105813	7	0	0	1	10	5	15	1	12	14	1	0	0	39
0.105875	1	0	0	2	10	6	0	1	12	11	1	0	28	1454
