Time	CellId	RNTI	BWPId	SINR(dB)
0.100246	1	2	0	33.1112
0.100246	4	2	0	-19.4363
0.100246	7	1	0	-5.10577
0.100308	1	2	0	33.1112
0.100308	4	2	0	-19.4363
0.100308	7	1	0	-5.10577
0.100366	7	1	0	-5.10577
0.100371	1	2	0	33.5934
0.100371	4	2	0	-19.4363
0.100433	1	2	0	33.1112
0.100433	4	2	0	-19.4363
0.100433	7	1	0	-5.10577
0.100496	1	2	0	33.1112
0.100496	4	2	0	-19.4363
0.100496	7	1	0	-5.10577
0.100558	1	2	0	33.1112
0.100558	4	2	0	-19.4363
0.100558	7	1	0	-5.10577
0.100621	1	2	0	33.1112
0.100621	4	2	0	-19.4363
0.100621	7	1	0	-5.10577
0.100683	1	2	0	33.1112
0.100683	4	2	0	-19.4363
0.100683	7	1	0	-5.10577
0.100746	1	2	0	33.1112
0.100746	4	2	0	-19.4363
0.100746	7	1	0	-5.10577
0.100808	1	2	0	33.1112
0.100808	4	2	0	-19.4363
0.100808	7	1	0	-5.10577
0.100871	1	2	0	33.1112
0.100871	4	2	0	-19.4363
0.100871	7	1	0	-5.10577
0.100933	1	2	0	33.1112
0.100933	4	2	0	-19.4363
0.100933	7	1	0	-5.10577
0.100982	1	1	1	5.10933
0.100982	4	1	1	51.1718
0.100991	1	2	0	33.1112
0.100996	4	2	0	10.5721
0.100996	7	1	0	0.354232
0.101058	1	2	0	33.1112
0.101058	4	2	0	-19.4363
0.101058	7	1	0	-5.10577
0.101121	1	2	0	33.1112
0.101121	4	2	0	-19.4363
0.101121	7	1	0	-5.10577
0.101183	1	2	0	33.1112
0.101183	4	2	0	-19.4363
0.101183	7	1	0	-5.10577
0.101232	1	1	1	5.10933
0.101232	4	1	1	51.1718
0.101246	1	2	0	33.1112
0.101246	4	2	0	-19.4363
0.101246	7	1	0	-5.10577
0.101308	1	2	0	33.1112
0.101308	4	2	0	-19.4363
0.101308	7	1	0	-5.10577
0.101371	1	2	0	33.1112
0.101371	4	2	0	-19.4363
0.101371	7	1	0	-5.10577
0.101433	1	2	0	33.1112
0.101433	4	2	0	-19.4363
0.101433	7	1	0	-5.10577
0.101482	1	1	1	5.10933
0.101482	4	1	1	51.1718
0.101496	1	2	0	33.1112
0.101496	4	2	0	-19.4363
0.101496	7	1	0	-5.10577
0.101558	1	2	0	33.1112
0.101558	4	2	0	-19.4363
0.101558	7	1	0	-5.10577
0.101621	1	2	0	33.1112
0.101621	4	2	0	-19.4363
0.101621	7	1	0	-5.10577
0.101683	1	2	0	33.1112
0.101683	4	2	0	-19.4363
0.101683	7	1	0	-5.10577
0.101732	1	1	1	5.10933
0.101732	4	1	1	51.1718
0.101746	1	2	0	33.1112
0.101746	4	2	0	-19.4363
0.101746	7	1	0	-5.10577
0.101808	1	2	0	33.1112
0.101808	4	2	0	-19.4363
0.101808	7	1	0	-5.10577
0.101871	1	2	0	33.1112
0.101871	4	2	0	-19.4363
0.101871	7	1	0	-5.10577
0.101933	1	2	0	33.1112
0.101933	4	2	0	-19.4363
0.101933	7	1	0	-5.10577
0.101982	1	1	1	5.10933
0.101982	4	1	1	51.1718
0.101996	1	2	0	33.1112
0.101996	4	2	0	-19.4363
0.101996	7	1	0	-5.10577
0.102058	1	2	0	33.1112
0.102058	4	2	0	-19.4363
0.102058	7	1	0	-5.10577
0.102116	1	2	0	33.1112
0.102121	4	2	0	6.22032
0.102121	7	1	0	0.353893
0.102183	1	2	0	33.1112
