Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	3	-81.3827
0	1	0	4	-86.0218
0	4	0	5	-85.8271
0	4	0	6	-83.4141
0	7	0	8	-80.8887
0.005	1	0	3	-81.3827
0.005	1	0	4	-86.0218
0.005	4	0	5	-85.8271
0.005	4	0	6	-83.4141
0.005	7	0	8	-80.8887
0.01	1	0	3	-81.3827
0.01	1	0	4	-86.0218
0.01	4	0	5	-85.8271
0.01	4	0	6	-83.4141
0.01	7	0	8	-80.8887
0.015	1	0	3	-81.3827
0.015	1	0	4	-86.0218
0.015	4	0	5	-85.8271
0.015	4	0	6	-83.4141
0.015	7	0	8	-80.8887
0.01625	1	0	3	-81.3827
0.01625	1	0	4	-86.0218
0.01625	4	0	5	-85.8271
0.01625	4	0	6	-83.4141
0.01625	7	0	8	-80.8887
0.0169375	1	0	3	-81.3827
0.0169375	1	0	4	-86.0218
0.0181875	4	0	5	-85.8271
0.0181875	4	0	6	-83.4141
0.02	1	0	3	-81.3827
0.02	1	0	4	-86.0218
0.02	4	0	5	-85.8271
0.02	4	0	6	-83.4141
0.02	7	0	8	-80.8887
0.0201875	7	0	8	-80.8887
0.0208125	1	0	3	-81.3827
0.0208125	1	0	4	-86.0218
0.0219375	1	0	3	-81.3827
0.0219375	1	0	4	-86.0218
0.0225	4	1	5	-85.8889
0.0225	4	1	6	-83.4759
0.0231875	4	0	5	-85.8271
0.0231875	4	0	6	-83.4141
0.02475	4	1	5	-85.8889
0.02475	4	1	6	-83.4759
0.025	1	0	3	-81.3827
0.025	1	0	4	-86.0218
0.025	4	0	5	-85.8271
0.025	4	0	6	-83.4141
0.025	7	0	8	-80.8887
0.0251875	7	0	8	-80.8887
0.0258125	1	0	3	-81.3827
0.0258125	1	0	4	-86.0218
0.0269375	1	0	3	-81.3827
0.0269375	1	0	4	-86.0218
0.0281875	4	0	5	-85.8271
0.0281875	4	0	6	-83.4141
0.03	1	0	3	-81.3827
0.03	1	0	4	-86.0218
0.03	4	0	5	-85.8271
0.03	4	0	6	-83.4141
0.03	7	0	8	-80.8887
0.0301875	7	0	8	-80.8887
