Time	CellId	RNTI	BWPId	SINR(dB)
0.0205714	1	2	0	36.1458
0.0205714	4	2	0	-19.4362
0.0206205	7	1	0	38.6495
0.0206339	7	1	0	39.1801
0.0206964	1	2	0	33.1112
0.0206964	4	2	0	-19.4363
0.0206964	7	1	0	-5.10577
0.0207589	1	2	0	34.9258
0.0207589	7	1	0	-5.12297
0.0207857	1	1	1	5.96355
0.0207857	4	1	1	31.0066
0.020808	4	2	0	32.368
0.0208214	4	2	0	33.6621
0.0208839	1	2	0	35.102
0.0208839	7	1	0	-5.11815
0.020933	4	2	0	32.4478
0.0209464	1	2	0	33.1112
0.0209464	7	1	0	-5.10577
0.0209955	4	2	0	33.1455
0.0210357	1	1	1	5.96355
0.0210357	4	1	1	31.0066
0.021058	4	2	0	11.3051
0.021058	7	1	0	-1.89187
0.0210714	1	2	0	36.4221
0.0211205	4	2	0	32.8153
0.0211205	7	1	0	6.78146
0.0211339	4	2	0	21.5261
0.021183	7	1	0	38.8028
0.0211964	1	2	0	36.4221
0.0211964	4	2	0	-19.4362
0.0212455	7	1	0	38.6569
0.0212589	1	2	0	36.4221
0.0212589	4	2	0	-19.4362
0.0212857	4	1	1	62.6319
0.021308	7	1	0	38.6569
0.0213705	4	2	0	11.3051
0.0213705	7	1	0	-1.89187
0.0213839	1	2	0	33.1112
0.0213839	4	2	0	-19.4363
0.0214018	7	1	0	38.2114
0.0214464	1	2	0	33.1112
0.0214464	4	2	0	-19.4363
0.0214464	7	1	0	-5.10577
0.0214821	1	1	1	65.8156
0.0215357	4	1	1	62.6319
0.021558	4	2	0	11.3051
0.021558	7	1	0	-1.89187
0.0215714	1	2	0	61.0085
0.0216205	4	2	0	10.9276
0.0216205	7	1	0	-2.14227
0.0216339	7	1	0	9.83385
0.021683	4	2	0	33.3084
0.0216964	1	2	0	35.102
0.0217009	7	1	0	35.6114
0.0217321	1	1	1	65.8156
0.0217455	4	2	0	32.0571
0.0217589	1	2	0	61.0085
0.0217857	4	1	1	62.6319
0.021808	4	2	0	10.9276
0.021808	7	1	0	-2.14227
0.0218705	4	2	0	20.1269
0.0218705	7	1	0	38.6206
0.0218839	1	2	0	35.102
0.0218884	7	1	0	35.6114
0.021933	4	2	0	32.0571
0.0219464	1	2	0	36.4221
0.0219554	4	2	0	31.4328
0.0219821	1	1	1	65.8156
0.0219955	7	1	0	37.7861
0.0220134	7	1	0	39.1801
0.0220357	4	1	1	62.6319
0.0220714	1	2	0	36.4221
0.0220714	4	2	0	-19.4362
0.0221205	7	1	0	38.5953
0.0221384	7	1	0	39.1801
0.0221964	1	2	0	33.1112
0.0221964	4	2	0	-19.4363
0.0221964	7	1	0	-5.10577
0.0222321	1	1	1	65.8156
0.0222589	1	2	0	34.7386
0.0222589	7	1	0	-5.12102
0.0222857	4	1	1	62.6319
0.022308	4	2	0	32.5582
0.0223214	4	2	0	33.6621
0.0223839	1	2	0	35.102
0.0223839	7	1	0	-5.11815
0.022433	4	2	0	32.4478
0.0224464	1	2	0	33.1112
0.0224464	7	1	0	-5.10577
0.0224821	1	1	1	65.8156
0.0224955	4	2	0	33.2843
0.0225357	4	1	1	31.0066
0.022558	4	2	0	11.3051
0.022558	7	1	0	-1.89187
0.0225714	1	2	0	36.4221
0.0226205	4	2	0	32.8153
0.0226205	7	1	0	6.78146
0.0226339	4	2	0	21.5261
0.022683	7	1	0	38.8028
0.0226964	1	1	1	66.0634
0.0226964	1	2	0	36.4221
0.0226964	4	2	0	-19.4362
0.0227455	7	1	0	38.6569
0.0227589	1	2	0	36.4221
0.0227589	4	2	0	-19.4362
0.0227857	1	1	1	5.96355
0.0227857	4	1	1	31.0066
0.022808	7	1	0	38.6569
0.0228705	4	2	0	11.3051
0.0228705	7	1	0	-1.89187
0.0228839	1	2	0	33.1112
0.0228839	4	2	0	-19.4363
0.0229018	7	1	0	38.2114
0.0229464	1	2	0	33.1112
0.0229464	4	2	0	-19.4363
0.0229464	7	1	0	-5.10577
0.0230357	1	1	1	5.96355
0.0230357	4	1	1	31.0066
0.023058	4	2	0	11.3051
0.023058	7	1	0	-1.89187
0.0230714	1	2	0	61.0085
0.0231205	4	2	0	10.9276
