time(s)	cellId	rnti	lcid	packetSize
0.023125	1	2	4	57
0.0231875	7	1	4	36
0.02325	1	1	4	245
0.02325	4	1	4	245
0.02325	1	2	4	57
0.02325	7	1	4	78
0.0233125	1	2	4	57
0.0233125	4	2	4	249
0.023375	7	1	4	61
0.0234375	1	2	4	57
0.0234375	4	2	4	57
0.0235	4	1	4	164
0.0235	7	1	4	57
0.0235625	1	2	4	57
0.0235625	4	2	4	57
0.0235625	7	1	4	57
0.023625	1	2	4	57
0.023625	7	1	4	57
0.0236875	4	2	4	57
0.02375	4	1	4	245
0.02375	1	2	4	57
0.02375	7	1	4	57
0.0238125	1	2	4	57
0.0238125	4	2	4	36
0.0238125	7	1	4	57
0.0239375	1	2	4	57
0.0239375	4	2	4	36
0.024	4	1	4	164
0.024	4	2	4	103
0.024	7	1	4	36
0.0240625	1	2	4	57
0.0240625	4	2	4	57
0.024125	1	2	4	57
0.024125	4	2	4	57
0.02425	4	1	4	245
0.02425	1	2	4	57
0.02425	4	2	4	57
0.02425	7	1	4	193
0.0243125	1	2	4	57
0.0243125	4	2	4	57
0.0243125	7	1	4	57
0.0244375	1	2	4	57
0.0244375	7	1	4	57
0.0245	4	1	4	164
0.0245	4	2	4	36
0.0245625	1	2	4	57
0.0245625	7	1	4	57
0.024625	1	2	4	57
0.0246875	7	1	4	36
0.02475	1	1	4	1223
0.02475	4	1	4	245
0.02475	1	2	4	57
0.02475	4	2	4	193
0.0248125	1	2	4	57
0.0248125	4	2	4	57
0.0248125	7	1	4	36
0.0249375	1	2	4	57
0.0249375	4	2	4	57
0.025	1	1	4	164
0.025	4	1	4	164
0.025	7	1	4	159
0.0250625	1	2	4	57
0.0250625	4	2	4	57
0.025125	1	2	4	57
0.025125	7	1	4	114
0.0251875	4	2	4	36
0.02525	1	1	4	245
0.02525	4	1	4	245
0.02525	1	2	4	57
0.02525	7	1	4	57
0.0253125	1	2	4	57
0.0253125	4	2	4	36
0.0253125	7	1	4	57
0.0254375	1	2	4	57
0.0254375	4	2	4	36
0.0255	1	1	4	164
0.0255	4	1	4	164
0.0255	4	2	4	125
0.0255	7	1	4	36
0.0255625	1	2	4	57
0.025625	1	2	4	57
0.025625	4	2	4	114
0.0256875	7	1	4	36
0.02575	1	1	4	245
0.02575	4	1	4	245
0.02575	1	2	4	57
0.02575	4	2	4	57
0.0258125	1	2	4	57
0.0258125	4	2	4	57
0.0258125	7	1	4	216
0.0259375	1	2	4	57
0.026	1	1	4	164
0.026	4	1	4	164
0.026	4	2	4	36
0.026	7	1	4	57
0.0260625	1	2	4	57
0.0260625	7	1	4	57
0.026125	1	2	4	57
0.026125	7	1	4	57
0.0261875	4	2	4	36
0.02625	4	1	4	245
0.02625	1	2	4	57
0.02625	7	1	4	57
0.0263125	1	2	4	57
0.0263125	4	2	4	216
0.0264375	1	2	4	57
0.0264375	4	2	4	57
0.0265	4	1	4	164
0.0265	7	1	4	36
0.0265625	1	2	4	57
0.0265625	4	2	4	57
0.026625	1	2	4	57
0.026625	7	1	4	36
0.0266875	4	2	4	57
0.02675	4	1	4	245
0.02675	1	2	4	57
0.0268125	1	2	4	57
0.0268125	4	2	4	36
0.0268125	7	1	4	272
0.0269375	1	2	4	57
0.0269375	4	2	4	36
0.0269375	7	1	4	57
0.027	4	1	4	164
0.027	4	2	4	103
0.0270625	1	2	4	57
0.0270625	7	1	4	57
0.027125	1	2	4	57
0.027125	4	2	4	114
0.0271875	7	1	4	57
0.02725	4	1	4	245
0.02725	1	2	4	57
0.02725	4	2	4	57
0.0273125	1	2	4	57
0.0273125	4	2	4	57
0.0273125	7	1	4	36
0.0274375	1	2	4	57
0.0274375	7	1	4	36
0.0275	1	1	4	1223
0.0275	4	1	4	164
0.0275	4	2	4	36
0.0275	7	1	4	103
0.0275625	1	2	4	57
0.0275625	7	1	4	57
0.027625	1	2	4	57
0.027625	7	1	4	57
0.0276875	4	2	4	36
0.02775	1	1	4	245
0.02775	4	1	4	245
0.02775	1	2	4	57
0.02775	7	1	4	57
0.0278125	1	2	4	57
0.0278125	4	2	4	216
0.0279375	1	2	4	57
0.028	1	1	4	164
0.028	4	1	4	164
0.028	4	2	4	57
0.028	7	1	4	36
0.0280625	1	2	4	57
0.0280625	4	2	4	57
0.028125	1	2	4	57
0.028125	7	1	4	36
0.0281875	4	2	4	57
0.0281875	7	1	4	159
0.02825	1	1	4	245
0.02825	4	1	4	245
0.02825	1	2	4	57
0.02825	4	2	4	57
0.0283125	1	2	4	57
0.0283125	4	2	4	57
0.0283125	7	1	4	114
0.0284375	1	2	4	57
0.0284375	7	1	4	57
0.0285	1	1	4	164
0.0285	4	1	4	164
0.0285	4	2	4	57
0.0285625	1	2	4	57
0.0285625	7	1	4	57
0.028625	1	2	4	57
0.028625	7	1	4	57
0.0286875	4	2	4	36
0.02875	1	1	4	245
0.02875	4	1	4	245
0.02875	1	2	4	57
0.02875	4	2	4	36
0.0288125	1	2	4	57
0.0288125	4	2	4	159
0.0288125	7	1	4	36
0.0289375	1	2	4	57
0.029	4	1	4	164
0.029	4	2	4	57
0.029	7	1	4	36
0.0290625	1	2	4	57
0.0290625	4	2	4	57
0.029125	1	2	4	57
0.029125	7	1	4	216
0.0291875	4	2	4	57
0.02925	4	1	4	245
0.02925	1	2	4	57
0.02925	4	2	4	57
0.0293125	1	2	4	57
0.0293125	4	2	4	57
0.0293125	7	1	4	114
0.0294375	1	2	4	57
0.0294375	4	2	4	36
0.0294375	7	1	4	57
0.0295	4	1	4	164
0.0295	4	2	4	23
0.0295625	1	2	4	57
0.0295625	7	1	4	57
0.029625	1	2	4	57
0.029625	7	1	4	57
0.02975	4	1	4	245
0.02975	1	2	4	57
0.02975	4	2	4	170
0.0298125	1	2	4	57
0.0298125	4	2	4	57
0.0298125	7	1	4	36
0.0299375	1	2	4	57
0.03	4	1	4	164
0.03	4	2	4	57
0.03	7	1	4	36
0.0300625	1	2	4	57
0.0300625	7	1	4	36
0.030125	1	2	4	57
0.030125	7	1	4	182
0.0301875	4	2	4	36
0.03025	1	1	4	1223
0.03025	4	1	4	245
0.03025	1	2	4	57
0.03025	4	2	4	36
0.0303125	1	2	4	57
0.0303125	4	2	4	159
0.0303125	7	1	4	114
0.0304375	1	2	4	57
0.0305	1	1	4	164
0.0305	4	1	4	164
0.0305	4	2	4	57
0.0305	7	1	4	57
0.0305625	1	2	4	57
0.0305625	4	2	4	57
0.0305625	7	1	4	57
0.030625	1	2	4	57
0.030625	7	1	4	57
0.0306875	4	2	4	57
0.03075	1	1	4	245
0.03075	4	1	4	245
0.03075	1	2	4	57
0.03075	4	2	4	57
0.03075	7	1	4	57
0.0308125	1	2	4	57
0.0308125	4	2	4	57
0.0309375	1	2	4	57
0.0309375	4	2	4	36
0.031	1	1	4	164
0.031	4	1	4	164
0.031	4	2	4	23
0.031	7	1	4	36
0.0310625	1	2	4	57
0.031125	1	2	4	57
0.031125	7	1	4	36
0.03125	1	1	4	245
0.03125	4	1	4	245
0.03125	1	2	4	57
0.03125	4	2	4	170
0.03125	7	1	4	216
0.0313125	1	2	4	57
0.0313125	4	2	4	57
0.0313125	7	1	4	57
0.0314375	1	2	4	57
0.0314375	4	2	4	57
0.0314375	7	1	4	57
0.0315	1	1	4	164
0.0315	4	1	4	164
0.0315625	1	2	4	57
0.0315625	7	1	4	57
0.031625	1	2	4	57
0.0316875	4	2	4	36
0.0316875	7	1	4	36
0.03175	4	1	4	245
0.03175	1	2	4	57
0.03175	7	1	4	80
0.0318125	1	2	4	57
0.0318125	4	2	4	36
0.0318125	7	1	4	57
0.031875	4	2	4	36
0.0319375	1	2	4	57
0.0319375	4	2	4	182
0.032	4	1	4	164
0.032	7	1	4	57
0.0320625	1	2	4	57
0.032125	1	2	4	57
0.032125	4	2	4	114
0.0321875	7	1	4	36
0.03225	4	1	4	245
0.03225	1	2	4	57
0.03225	7	1	4	36
0.0323125	1	2	4	57
0.0323125	4	2	4	114
0.0323125	7	1	4	159
0.0324375	1	2	4	57
0.0324375	7	1	4	57
0.0325	4	1	4	164
0.0325	4	2	4	36
0.0325625	1	2	4	57
0.0325625	4	2	4	36
0.0325625	7	1	4	57
0.032625	1	2	4	57
0.032625	4	2	4	103
0.0326875	7	1	4	57
0.03275	4	1	4	245
0.03275	1	2	4	57
0.03275	7	1	4	57
0.0328125	1	2	4	57
0.0328125	4	2	4	114
0.0328125	7	1	4	57
0.0329375	1	2	4	57
0.0329375	7	1	4	36
0.033	1	1	4	1223
0.033	4	1	4	164
0.033	4	2	4	36
0.033	7	1	4	23
0.0330625	1	2	4	57
0.0330625	4	2	4	36
0.033125	1	2	4	57
0.0331875	4	2	4	32
0.0331875	7	1	4	36
0.03325	1	1	4	245
0.03325	4	1	4	245
0.03325	1	2	4	57
0.03325	7	1	4	136
0.0333125	1	2	4	57
0.0333125	4	2	4	186
0.0334375	1	2	4	57
0.0335	1	1	4	164
0.0335	4	1	4	164
0.0335	4	2	4	57
0.0335	7	1	4	114
0.0335625	1	2	4	57
0.0335625	4	2	4	57
0.033625	1	2	4	57
0.033625	7	1	4	114
0.0336875	4	2	4	57
0.03375	1	1	4	245
0.03375	4	1	4	245
0.03375	1	2	4	57
0.03375	4	2	4	57
0.0338125	1	2	4	57
0.0338125	4	2	4	57
0.0338125	7	1	4	114
0.0339375	1	2	4	57
0.0339375	4	2	4	36
0.0339375	7	1	4	57
0.034	1	1	4	164
0.034	4	1	4	164
0.034	4	2	4	23
0.0340625	1	2	4	57
0.0340625	7	1	4	57
0.034125	1	2	4	57
0.034125	7	1	4	57
0.03425	1	1	4	245
0.03425	4	1	4	245
0.03425	1	2	4	57
0.03425	4	2	4	170
0.0343125	1	2	4	57
0.0343125	4	2	4	57
0.0343125	7	1	4	36
0.0344375	1	2	4	57
0.0344375	4	2	4	57
0.0345	4	1	4	164
0.0345	7	1	4	36
0.0345625	1	2	4	57
0.0345625	7	1	4	36
0.034625	1	2	4	57
0.034625	7	1	4	182
0.0346875	4	2	4	36
0.03475	4	1	4	245
0.03475	1	2	4	57
0.03475	7	1	4	57
0.0348125	1	2	4	57
0.0348125	4	2	4	36
0.0348125	7	1	4	57
0.034875	4	2	4	36
