time(s)	cellId	rnti	lcid	packetSize
0.0208003	7	1	4	55
0.0208004	1	1	4	80
0.0208005	4	1	4	80
0.0209002	1	2	4	55
0.0209002	4	2	4	55
0.0209003	7	1	4	55
0.0209004	1	1	4	80
0.0209005	4	1	4	80
0.0210002	1	2	4	55
0.0210002	4	2	4	55
0.0210003	7	1	4	55
0.0210004	1	1	4	80
0.0210005	4	1	4	80
0.0211002	1	2	4	55
0.0211002	4	2	4	55
0.0211003	7	1	4	55
0.0211004	1	1	4	80
0.0211005	4	1	4	80
0.0212002	1	2	4	55
0.0212002	4	2	4	55
0.0212003	7	1	4	55
0.0212004	1	1	4	80
0.0212005	4	1	4	80
0.0213002	1	2	4	55
0.0213002	4	2	4	55
0.0213003	7	1	4	55
0.0213004	1	1	4	80
0.0213005	4	1	4	80
0.0214002	1	2	4	55
0.0214002	4	2	4	55
0.0214003	7	1	4	55
0.0214004	1	1	4	80
0.0214005	4	1	4	80
0.0215002	1	2	4	55
0.0215002	4	2	4	55
0.0215003	7	1	4	55
0.0215004	1	1	4	80
0.0215005	4	1	4	80
0.0216002	1	2	4	55
0.0216002	4	2	4	55
0.0216003	7	1	4	55
0.0216004	1	1	4	80
0.0216005	4	1	4	80
0.0217002	1	2	4	55
0.0217002	4	2	4	55
0.0217003	7	1	4	55
0.0217004	1	1	4	80
0.0217005	4	1	4	80
0.0218002	1	2	4	55
0.0218002	4	2	4	55
0.0218003	7	1	4	55
0.0218004	1	1	4	80
0.0218005	4	1	4	80
0.0219002	1	2	4	55
0.0219002	4	2	4	55
0.0219003	7	1	4	55
0.0219004	1	1	4	80
0.0219005	4	1	4	80
0.0220002	1	2	4	55
0.0220002	4	2	4	55
0.0220003	7	1	4	55
0.0220004	1	1	4	80
0.0220005	4	1	4	80
0.0221002	1	2	4	55
0.0221002	4	2	4	55
0.0221003	7	1	4	55
0.0221004	1	1	4	80
0.0221005	4	1	4	80
0.0222002	1	2	4	55
0.0222002	4	2	4	55
0.0222003	7	1	4	55
0.0222004	1	1	4	80
0.0222005	4	1	4	80
0.0223002	1	2	4	55
0.0223002	4	2	4	55
0.0223003	7	1	4	55
0.0223004	1	1	4	80
0.0223005	4	1	4	80
0.0224002	1	2	4	55
