Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.0177455	DL	1	7	11	1	12	4	0	2	118	28	1	1	41.4787	15	1	0.595259
0.0177589	DL	1	7	12	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0177589	DL	1	7	12	1	1	7	0	1	118	28	1	0	-5.11815	0	1	1
0.017808	DL	1	7	12	1	12	4	0	2	118	28	1	1	41.4787	15	1	0.595259
0.0178705	DL	1	7	13	1	12	4	0	2	39	0	1	0	33.6621	15	0	0
0.0178839	DL	1	7	14	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0178839	DL	1	7	14	1	1	7	0	1	118	28	1	0	-5.10577	0	1	1
0.017933	DL	1	7	14	1	12	4	0	2	39	0	1	0	33.2843	15	0	0
0.0179464	DL	1	7	15	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0179464	DL	1	7	15	1	1	7	0	1	96	24	1	0	-5.10577	0	1	1
0.0179509	DL	1	7	15	1	2	4	0	2	239	28	1	0	30.6527	15	0	5.701e-14
0.0179821	DL	1	7	3	1	12	1	1	1	171	0	1	0	5.96355	7	0	0
0.0179821	DL	1	7	3	1	12	4	1	1	171	0	1	0	31.0066	15	0	0
0.018058	DL	1	8	0	1	12	4	0	2	118	28	1	2	20.336	15	0	0
0.018058	DL	1	8	0	1	12	7	0	1	118	28	1	1	7.13903	8	1	1
0.0180714	DL	1	8	1	1	1	1	0	2	118	28	1	0	61.0085	15	0	5.701e-14
0.0181205	DL	1	8	1	1	12	4	0	2	118	28	1	2	19.9585	15	0	0
0.0181205	DL	1	8	1	1	12	7	0	1	118	28	1	1	6.88863	7	1	1
0.0181339	DL	1	8	2	1	1	4	0	2	118	28	1	0	21.5261	15	0	1.30873e-05
0.018183	DL	1	8	2	1	12	7	0	1	39	0	1	0	38.8028	15	0	0
0.0181964	DL	1	8	3	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.0181964	DL	1	8	3	1	1	4	0	2	118	28	1	0	-19.4362	0	1	1
0.0182321	DL	1	8	0	1	12	1	1	1	171	0	1	0	5.96355	7	0	0
0.0182321	DL	1	8	0	1	12	4	1	1	171	0	1	0	31.0066	15	0	0
0.0182455	DL	1	8	3	1	12	7	0	1	118	28	1	1	47.6878	15	0	0.290877
0.0182589	DL	1	8	4	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
