Time	CellId	RNTI	BWPId	SINR(dB)
0.10446	7	1	0	37.9312
0.104536	1	1	1	5.10933
0.104536	4	1	1	51.1718
0.104558	4	2	0	32.8255
0.104571	1	2	0	33.1112
0.104571	7	1	0	-5.10577
0.104621	4	2	0	33.2843
0.104634	4	2	0	33.6621
0.104696	1	2	0	35.102
0.104696	7	1	0	-5.11815
0.104746	4	2	0	32.4478
0.104759	1	2	0	35.102
0.104759	7	1	0	-5.11815
0.104786	1	1	1	5.10933
0.104786	4	1	1	51.1718
0.104808	4	2	0	32.4478
0.104871	4	2	0	32.8255
0.104884	1	2	0	36.4221
0.104888	4	2	0	30.1837
0.104933	7	1	0	38.2433
0.104946	1	2	0	33.1112
0.104946	4	2	0	-19.4363
0.104996	7	1	0	38.8024
0.105036	4	1	1	61.278
0.105058	7	1	0	39.0347
0.105071	1	2	0	61.0085
0.105121	4	2	0	10.9276
0.105121	7	1	0	-2.14227
0.105134	4	2	0	21.5261
0.105183	7	1	0	38.796
0.105196	1	2	0	60.7266
0.105232	1	1	1	66.915
0.105246	4	2	0	27.4969
0.105246	7	1	0	-0.413179
0.105259	1	2	0	35.102
0.105263	7	1	0	35.6114
0.105286	4	1	1	61.278
0.105308	4	2	0	32.0571
0.105371	4	2	0	33.6571
0.105384	1	2	0	36.4221
0.105433	4	2	0	32.8153
0.105433	7	1	0	6.78146
0.105446	1	2	0	33.1112
0.105451	4	2	0	18.5171
0.10546	7	1	0	36.1729
0.105482	1	1	1	66.818
0.105536	4	1	1	61.278
0.105571	1	2	0	60.7266
0.105621	4	2	0	12.6732
0.105621	7	1	0	33.864
0.105634	4	2	0	21.5261
0.105634	7	1	0	9.83385
0.105696	1	2	0	33.1112
0.105696	4	2	0	-19.4363
0.105696	7	1	0	-5.10577
0.105732	1	1	1	66.915
0.105759	1	2	0	34.9258
0.105759	7	1	0	-5.12297
0.105786	4	1	1	61.278
0.105808	4	2	0	32.368
0.105821	4	2	0	33.6621
0.105884	1	2	0	33.1112
0.105884	4	2	0	-19.4363
0.105884	7	1	0	-5.10577
0.105946	1	2	0	36.4221
0.105946	4	2	0	-19.4362
0.105982	1	1	1	66.915
0.105996	7	1	0	38.6564
