Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.100246	DL	10	0	3	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.100246	DL	10	0	3	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.100246	DL	10	0	3	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.100308	DL	10	0	4	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.100308	DL	10	0	4	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.100308	DL	10	0	4	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.100366	DL	10	0	5	1	11	7	0	1	35	0	1	0	-5.10577	0	0	9.23303e-08
0.100371	DL	10	0	5	1	12	1	0	2	39	0	1	0	33.5934	15	0	0
0.100371	DL	10	0	5	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.100433	DL	10	0	6	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.100433	DL	10	0	6	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.100433	DL	10	0	6	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.100496	DL	10	0	7	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.100496	DL	10	0	7	1	12	4	0	2	39	0	1	0	-19.4363	0	1	1
0.100496	DL	10	0	7	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.100558	DL	10	0	8	1	12	1	0	2	39	0	1	0	33.1112	15	0	0
0.100558	DL	10	0	8	1	12	4	0	2	39	0	1	1	-19.4363	0	1	1
0.100558	DL	10	0	8	1	12	7	0	1	39	0	1	0	-5.10577	0	0	9.23303e-08
0.100571	DL	10	0	9	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.100621	DL	10	0	9	1	12	4	0	2	39	0	1	1	21.1484	15	0	0
0.100621	DL	10	0	9	1	12	7	0	1	39	0	1	0	9.46877	9	0	0
0.100683	DL	10	0	10	1	12	4	0	2	39	0	1	1	21.5261	15	0	0
0.100683	DL	10	0	10	1	12	7	0	1	39	0	1	0	9.83385	9	0	0
0.100696	DL	10	0	11	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.100746	DL	10	0	11	1	12	4	0	2	39	0	1	1	21.1484	15	0	0
0.100746	DL	10	0	11	1	12	7	0	1	39	0	1	0	9.46877	9	0	0
0.100759	DL	10	0	12	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.100808	DL	10	0	12	1	12	4	0	2	39	0	1	1	21.1484	15	0	0
0.100808	DL	10	0	12	1	12	7	0	1	39	0	1	0	9.46877	9	0	0
0.100871	DL	10	0	13	1	12	4	0	2	39	0	1	2	21.5261	15	0	0
0.100871	DL	10	0	13	1	12	7	0	1	39	0	1	0	9.83385	9	0	0
0.100884	DL	10	0	14	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.100933	DL	10	0	14	1	12	4	0	2	39	0	1	0	21.1484	15	0	0
0.100933	DL	10	0	14	1	12	7	0	1	39	0	1	0	9.46877	9	0	0
0.100946	DL	10	0	15	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.100955	DL	10	0	15	1	3	4	0	2	361	28	1	0	19.766	14	0	0.597142
0.100955	DL	10	0	15	1	3	7	0	1	155	16	1	0	8.14264	8	1	0.825664
0.100982	DL	10	0	3	1	12	1	1	1	171	0	1	0	5.10933	7	0	0
0.100982	DL	10	0	3	1	12	4	1	1	171	0	1	0	51.1718	15	0	0
0.101071	DL	10	1	1	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.101071	DL	10	1	1	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.101076	DL	10	1	1	1	2	7	0	1	102	16	1	0	36.1709	15	0	0
0.101196	DL	10	1	3	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.101196	DL	10	1	3	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.101201	DL	10	1	3	1	2	7	0	1	102	16	1	0	36.1709	15	0	0
0.101232	DL	10	1	0	1	12	1	1	1	171	0	1	0	5.10933	7	0	0
0.101232	DL	10	1	0	1	12	4	1	1	171	0	1	0	51.1718	15	0	0
