time(s)	cellId	rnti	lcid	packetSize
0.1049	4	2	4	55
0.1049	7	1	4	55
0.1049	1	1	4	80
0.104901	4	1	4	80
0.105	1	2	4	55
0.105	4	2	4	55
0.105	7	1	4	55
0.105	1	1	4	80
0.105001	4	1	4	80
0.1051	1	2	4	55
0.1051	4	2	4	55
0.1051	7	1	4	55
0.1051	1	1	4	80
0.105101	4	1	4	80
0.1052	1	2	4	55
0.1052	4	2	4	55
0.1052	7	1	4	55
0.1052	1	1	4	80
0.105201	4	1	4	80
0.1053	1	2	4	55
0.1053	4	2	4	55
0.1053	7	1	4	55
0.1053	1	1	4	80
0.105301	4	1	4	80
0.1054	1	2	4	55
0.1054	4	2	4	55
0.1054	7	1	4	55
0.1054	1	1	4	80
0.105401	4	1	4	80
0.1055	1	2	4	55
0.1055	4	2	4	55
0.1055	7	1	4	55
0.1055	1	1	4	80
0.105501	4	1	4	80
0.1056	1	2	4	55
0.1056	4	2	4	55
0.1056	7	1	4	55
0.1056	1	1	4	80
0.105601	4	1	4	80
0.1057	1	2	4	55
0.1057	4	2	4	55
0.1057	7	1	4	55
0.1057	1	1	4	80
0.105701	4	1	4	80
0.1058	1	2	4	55
0.1058	4	2	4	55
0.1058	7	1	4	55
0.1058	1	1	4	80
0.105801	4	1	4	80
0.1059	1	2	4	55
0.1059	4	2	4	55
0.1059	7	1	4	55
0.1059	1	1	4	80
0.105901	4	1	4	80
0.106	1	2	4	55
0.106	4	2	4	55
0.106	7	1	4	55
0.106	1	1	4	80
0.106001	4	1	4	80
0.1061	1	2	4	55
0.1061	4	2	4	55
0.1061	7	1	4	55
0.1061	1	1	4	80
0.106101	4	1	4	80
0.1062	1	2	4	55
0.1062	4	2	4	55
0.1062	7	1	4	55
0.1062	1	1	4	80
0.106201	4	1	4	80
0.1063	1	2	4	55
0.1063	4	2	4	55
0.1063	7	1	4	55
0.1063	1	1	4	80
0.106301	4	1	4	80
0.1064	1	2	4	55
0.1064	4	2	4	55
0.1064	7	1	4	55
0.1064	1	1	4	80
0.106401	4	1	4	80
0.1065	1	2	4	55
0.1065	4	2	4	55
0.1065	7	1	4	55
