time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.100346	1	2	4	36	0.000283031
0.100346	7	1	4	36	0.000283031
0.100408	1	2	4	36	0.000283031
0.100408	7	1	4	36	0.000283031
0.100466	7	1	4	32	0.000278567
0.100471	1	2	4	36	0.000283031
0.100533	1	2	4	36	0.000283031
0.100533	7	1	4	36	0.000283031
0.100596	1	2	4	35	0.000283031
0.100596	7	1	4	36	0.000283031
0.100658	1	2	4	36	0.000283031
0.100658	7	1	4	36	0.000283031
0.100671	1	2	4	80	0.000233927
0.100721	4	2	4	36	0.000595531
0.100721	7	1	4	36	0.000283031
0.100783	4	2	4	36	0.000595531
0.100783	7	1	4	36	0.000283031
0.100796	1	2	4	57	0.000233927
0.100846	4	2	4	36	0.000595531
0.100846	7	1	4	36	0.000283031
0.100859	1	2	4	57	0.000233927
0.100908	4	2	4	35	0.000595531
0.100908	7	1	4	36	0.000283031
0.100971	4	2	4	36	0.000908031
0.100971	7	1	4	36	0.000283031
0.100984	1	2	4	57	0.000233927
0.101033	4	2	4	36	0.000283031
0.101033	7	1	4	36	0.000283031
0.101046	1	2	4	57	0.000233927
0.101055	4	2	4	306	0.000242855
0.101082	1	1	4	168	0.00083214
0.101082	4	1	4	168	0.00083214
0.101171	1	2	4	57	0.000233927
0.101176	7	1	4	57	0.000238391
0.101296	1	2	4	57	0.000233927
0.101301	7	1	4	57	0.000238391
0.101332	1	1	4	168	0.00083214
0.101332	4	1	4	168	0.00083214
0.101359	1	2	4	57	0.000233927
0.101408	7	1	4	109	0.000595531
0.101426	7	1	4	57	0.000238391
0.101484	1	2	4	57	0.000233927
0.101488	7	1	4	57	0.000238391
0.101533	4	2	4	57	0.000595531
0.101546	1	2	4	57	0.000233927
0.101582	1	1	4	168	0.00083214
0.101582	4	1	4	168	0.00083214
0.101596	4	2	4	36	0.000283031
0.101671	1	2	4	57	0.000233927
0.101783	4	2	4	36	0.000283031
0.101796	1	2	4	57	0.000233927
0.101832	1	1	4	168	0.00083214
0.101832	4	1	4	168	0.00083214
0.101846	4	2	4	36	0.000283031
0.101859	1	2	4	57	0.000233927
0.101908	7	1	4	57	0.000595531
0.101971	4	2	4	57	0.000908031
0.101971	7	1	4	36	0.000283031
0.101984	1	2	4	57	0.000233927
0.102033	4	2	4	57	0.000908031
0.102046	1	2	4	57	0.000233927
0.102082	1	1	4	168	0.00083214
0.102082	4	1	4	168	0.00083214
0.102096	7	1	4	36	0.000283031
0.102158	7	1	4	57	0.000595531
0.102171	1	2	4	57	0.000233927
0.102221	4	2	4	182	0.000595531
0.102221	7	1	4	36	0.000283031
0.102234	4	2	4	57	0.000233927
0.102238	7	1	4	125	0.000238391
0.102296	1	2	4	57	0.000233927
0.102332	1	1	4	168	0.00083214
0.102332	4	1	4	168	0.00083214
0.102346	7	1	4	57	0.000908031
0.102359	1	2	4	57	0.000233927
0.102372	7	1	4	114	0.000247319
0.102386	4	1	4	472	0.000635713
0.102439	1	1	4	472	0.000689284
0.102471	4	2	4	36	0.000283031
0.102484	1	2	4	57	0.000233927
0.102533	4	2	4	36	0.000283031
0.102546	1	2	4	57	0.000233927
0.102636	4	1	4	164	0.000635713
0.102654	1	1	4	164	0.00065357
0.102671	1	2	4	57	0.000233927
0.102721	4	2	4	114	0.000908031
0.102734	4	2	4	57	0.000233927
0.102796	1	2	4	57	0.000233927
0.102846	7	1	4	57	0.000595531
0.102859	1	2	4	57	0.000233927
