time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.100408	1	2	4	55	0.000407875
0.100408	7	1	4	55	0.000407723
0.100533	1	2	4	55	0.000432875
0.100533	7	1	4	55	0.000432723
0.100596	1	2	4	55	0.000395375
0.100658	7	1	4	55	0.000457723
0.100671	1	2	4	55	0.000371271
0.100671	1	2	4	55	0.000271271
0.100721	7	1	4	55	0.000420223
0.100796	1	2	4	55	0.000296271
0.100846	7	1	4	55	0.000445223
0.100859	1	2	4	55	0.000258771
0.100971	4	2	4	55	0.000970299
0.100971	4	2	4	55	0.000870299
0.100971	4	2	4	55	0.000770299
0.100971	7	1	4	55	0.000470223
0.100984	1	2	4	55	0.000283771
0.101033	7	1	4	55	0.000432723
0.101046	1	2	4	55	0.000246271
0.101055	4	2	4	55	0.000755123
0.101055	4	2	4	55	0.000655123
0.101055	4	2	4	55	0.000555123
0.101055	4	2	4	55	0.000455123
0.101055	4	2	4	55	0.000355123
0.101055	4	2	4	55	0.000255123
0.101082	1	1	4	80	0.00108172
0.101082	1	1	4	80	0.000981716
0.101082	4	1	4	80	0.00108162
0.101082	4	1	4	80	0.00098162
0.101171	1	2	4	55	0.000271271
0.101296	1	2	4	55	0.000296271
0.101332	1	1	4	80	0.00113172
0.101332	1	1	4	80	0.00103172
0.101332	4	1	4	80	0.00113162
0.101332	4	1	4	80	0.00103162
0.101359	1	2	4	55	0.000258771
0.101408	7	1	4	55	0.000707723
0.101408	7	1	4	55	0.000607723
0.101408	7	1	4	55	0.000507723
0.101408	7	1	4	55	0.000407723
0.101426	7	1	4	55	0.000325583
0.101484	1	2	4	55	0.000283771
0.101488	7	1	4	55	0.000288083
0.101533	4	2	4	55	0.000632799
0.101546	1	2	4	55	0.000246271
0.101582	1	1	4	80	0.00118172
0.101582	1	1	4	80	0.00108172
0.101582	4	1	4	80	0.00118162
0.101582	4	1	4	80	0.00108162
0.101671	1	2	4	55	0.000271271
0.101796	1	2	4	55	0.000296271
0.101832	1	1	4	80	0.00123172
0.101832	1	1	4	80	0.00113172
0.101832	4	1	4	80	0.00123162
0.101832	4	1	4	80	0.00113162
0.101859	1	2	4	55	0.000258771
0.101908	7	1	4	55	0.000607723
0.101971	4	2	4	55	0.000970299
0.101984	1	2	4	55	0.000283771
0.102033	4	2	4	55	0.000932799
0.102033	4	2	4	55	0.000832799
0.102046	1	2	4	55	0.000246271
0.102082	1	1	4	80	0.00128172
0.102082	1	1	4	80	0.00118172
0.102082	4	1	4	80	0.00128162
0.102082	4	1	4	80	0.00118162
0.102171	1	2	4	55	0.000271271
0.102221	4	2	4	55	0.000920299
0.102221	4	2	4	55	0.000820299
0.102221	4	2	4	55	0.000720299
0.102221	4	2	4	55	0.000620299
0.102296	1	2	4	55	0.000296271
0.102332	1	1	4	80	0.00133172
0.102332	1	1	4	80	0.00123172
0.102332	4	1	4	80	0.00133162
0.102332	4	1	4	80	0.00123162
0.102346	7	1	4	55	0.000945223
0.102346	7	1	4	55	0.000845223
0.102346	7	1	4	55	0.000745223
0.102346	7	1	4	55	0.000645223
0.102346	7	1	4	55	0.000545223
0.102346	7	1	4	55	0.000445223
0.102359	1	2	4	55	0.000258771
0.102372	7	1	4	55	0.000372011
0.102372	7	1	4	55	0.000272011
0.102386	4	1	4	80	0.00118519
0.102386	4	1	4	80	0.00108519
0.102386	4	1	4	80	0.000985193
0.102386	4	1	4	80	0.000885193
0.102386	4	1	4	80	0.000785193
0.102386	4	1	4	80	0.000685193
0.102439	1	1	4	80	0.00123886
0.102439	1	1	4	80	0.00113886
0.102439	1	1	4	80	0.00103886
0.102439	1	1	4	80	0.00093886
0.102439	1	1	4	80	0.00083886
0.102439	1	1	4	80	0.00073886
0.102484	1	2	4	55	0.000283771
0.102546	1	2	4	55	0.000246271
0.102636	4	1	4	80	0.000835193
0.102636	4	1	4	80	0.000735193
0.102654	1	1	4	80	0.000853146
0.102654	1	1	4	80	0.000753146
0.102671	1	2	4	55	0.000271271
0.102721	4	2	4	55	0.0010203
0.102721	4	2	4	55	0.000920299
0.102721	4	2	4	55	0.000820299
0.102796	1	2	4	55	0.000296271
0.102846	7	1	4	55	0.000645223
0.102859	1	2	4	55	0.000258771
0.102886	4	1	4	80	0.000885193
0.102886	4	1	4	80	0.000785193
0.102886	4	1	4	80	0.000685193
0.102904	1	1	4	80	0.000903146
0.102904	1	1	4	80	0.000803146
0.102904	1	1	4	80	0.000703146
0.102971	4	2	4	55	0.000970299
0.102971	4	2	4	55	0.000870299
0.102984	1	2	4	55	0.000283771
0.103046	1	2	4	55	0.000246271
0.103136	4	1	4	80	0.000835193
0.103136	4	1	4	80	0.000735193
0.103154	1	1	4	80	0.000853146
0.103154	1	1	4	80	0.000753146
0.103171	1	2	4	55	0.000271271
0.103221	4	2	4	55	0.0010203
0.103221	4	2	4	55	0.000920299
0.103221	4	2	4	55	0.000820299
0.103221	4	2	4	55	0.000720299
0.103296	1	2	4	55	0.000296271
0.103359	1	2	4	55	0.000258771
0.103386	4	1	4	80	0.000885193
0.103386	4	1	4	80	0.000785193
0.103386	4	1	4	80	0.000685193
0.103404	1	1	4	80	0.000903146
0.103404	1	1	4	80	0.000803146
0.103404	1	1	4	80	0.000703146
0.103484	1	2	4	55	0.000283771
0.103533	7	1	4	55	0.00123272
0.103533	7	1	4	55	0.00113272
0.103533	7	1	4	55	0.00103272
0.103533	7	1	4	55	0.000932723
0.103533	7	1	4	55	0.000832723
0.103533	7	1	4	55	0.000732723
0.103533	7	1	4	55	0.000632723
0.103546	1	2	4	55	0.000246271
0.103636	4	1	4	80	0.000835193
0.103636	4	1	4	80	0.000735193
0.103654	1	1	4	80	0.000853146
0.103654	1	1	4	80	0.000753146
0.103658	7	1	4	55	0.000657723
0.103671	1	2	4	55	0.000271271
0.103721	4	2	4	55	0.0011203
0.103721	4	2	4	55	0.0010203
0.103783	4	2	4	55	0.000982799
0.103783	4	2	4	55	0.000882799
0.103796	1	2	4	55	0.000296271
0.103846	4	2	4	55	0.000845299
0.103846	4	2	4	55	0.000745299
0.103846	4	2	4	55	0.000645299
0.103859	1	2	4	55	0.000258771
0.103886	4	1	4	80	0.000885193
0.103886	4	1	4	80	0.000785193
0.103886	4	1	4	80	0.000685193
0.103984	1	2	4	55	0.000283771
0.104033	7	1	4	55	0.000932723
0.104033	7	1	4	55	0.000832723
0.104033	7	1	4	55	0.000732723
0.104033	7	1	4	55	0.000632723
0.104046	1	2	4	55	0.000246271
0.104136	4	1	4	80	0.000835193
0.104136	4	1	4	80	0.000735193
0.104171	1	2	4	55	0.000271271
0.104221	4	2	4	55	0.000920299
